issuekey,title,description,storypoint
USERGRID-432,"Remove redundant createIndex calls",NULL,3
USERGRID-433,"[SPIKE] SMTP server that starts with the JVM for email rest verification","Current email verification is hard to do and requires some messy code. See if there is a better way to integrate that into the rest layer tests.",3
USERGRID-434,"Rest Test Framework isn't correctly setting up the test account","In AdminUsersIT we have a test that fails due to the test account not being created when the system spins up. Ideally the test account should be created",3
USERGRID-435,"Admin Portal - connections listing on data page throws error","Steps to reproduce:    1. Create entities in two different collections  2. Connect them  3. Read the connection in the data explorer    POST /reviews {""name"":""myreview""}  POST /users {""username"":""fred""}  POST /users/fred/wrote/reviews/myreview  GET /users/fred/wrote/reviews/ <== this call will give the error    This happens because the data explorer tries to make a /indexes call:    GET /users/fred/wrote/reviews/indexes    Which returns a 500 error",3
USERGRID-436,"Call to /indexes produces a 500 error if used with connections","Steps to reproduce:    1. Create entities in two different collections  2. Connect them  3. Do a GET on the connection with indexes    POST /reviews {""name"":""myreview""}  POST /users {""username"":""fred""}  POST /users/fred/wrote/reviews/myreview    GET /users/fred/wrote/reviews/indexes <== this call will give the error    {""error"":""null_pointer"",""timestamp"":1425074980254,""duration"":0,""exception"":""java.lang.NullPointerException""}  ",3
USERGRID-437,"Fix the GET /management/users/<userid> endpoint permissions","go to the management resource that handles getting the management user and allow them to be retrieved if you have more open permissions. Such that it mirrors the PUT entity endpoint. ",3
USERGRID-438,"SPIKE: UnexpectedEOF Error","This happens occasionally under very light load: {u'fault': {u'faultstring': u'Unexpected EOF', u'detail': {u'errorcode': u'messaging.adaptors.http.UnexpectedEOF'}}}    This is not heavy load at all.  Will look for the server-side stack trace.",3
USERGRID-439,"Scheduler run failed when system idling","This error happens consistently in some clusters when the system is largely idle:    2015-02-27 23:19:40,060 [JobSchedulerService] ERROR org.apache.usergrid.batch.service.JobSchedulerService- Scheduler run failed, error is  org.apache.usergrid.persistence.exceptions.QueueException: Unable to obtain a lock on queue '/jobs' after '5'seconds    org.apache.usergrid.mq.cassandra.io.ConsumerTransaction.getResults(ConsumerTransaction.java:206)    org.apache.usergrid.mq.cassandra.QueueManagerImpl.getFromQueue(QueueManagerImpl.java:412)    org.apache.usergrid.batch.service.SchedulerServiceImpl.getJobs(SchedulerServiceImpl.java:164)    org.apache.usergrid.batch.service.JobSchedulerService.runOneIteration(JobSchedulerService.java:111)    com.google.common.util.concurrent.AbstractScheduledService$1$1.run(AbstractScheduledService.java:170)    java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471)    java.util.concurrent.FutureTask$Sync.innerRunAndReset(FutureTask.java:351)    java.util.concurrent.FutureTask.runAndReset(FutureTask.java:178)    java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.access$301(ScheduledThreadPoolExecutor.java:178)    java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:293)    java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)    java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)    java.lang.Thread.run(Thread.java:722)",3
USERGRID-442,"Investigate ElasticSearch timeout such that a long-running GC does not pause all ES and Tomcat","I have seen as many as 16 tomcat nodes pausing at the same time across the cluster.  I took a stack trace and have attached it.      This one jumped out to me:  ""http-bio-8080-exec-2"" daemon prio=10 tid=0x00007f0cbc003800 nid=0x20ff waiting on condition [0x00007f0d370dd000]     java.lang.Thread.State: WAITING (parking)    sun.misc.Unsafe.park(Native Method)  	- parking to wait for  <0x00000007ee1de4d8> (a org.elasticsearch.common.util.concurrent.BaseFuture$Sync)    java.util.concurrent.locks.LockSupport.park(LockSupport.java:186)    java.util.concurrent.locks.AbstractQueuedSynchronizer.parkAndCheckInterrupt(AbstractQueuedSynchronizer.java:834)    java.util.concurrent.locks.AbstractQueuedSynchronizer.doAcquireSharedInterruptibly(AbstractQueuedSynchronizer.java:994)    java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireSharedInterruptibly(AbstractQueuedSynchronizer.java:1303)    org.elasticsearch.common.util.concurrent.BaseFuture$Sync.get(BaseFuture.java:274)    org.elasticsearch.common.util.concurrent.BaseFuture.get(BaseFuture.java:113)    org.elasticsearch.action.support.AdapterActionFuture.actionGet(AdapterActionFuture.java:45)    org.apache.usergrid.persistence.index.impl.EsEntityIndexImpl.search(EsEntityIndexImpl.java:357)    org.apache.usergrid.corepersistence.CpRelationManager.searchCollection(CpRelationManager.java:963)    org.apache.usergrid.corepersistence.CpEntityManager.searchCollection(CpEntityManager.java:624)    org.apache.usergrid.corepersistence.CpEntityManagerFactory.lookupApplication(CpEntityManagerFactory.java:433)    org.apache.usergrid.rest.organizations.OrganizationResource.getApplicationByName(OrganizationResource.java:137)    sun.reflect.GeneratedMethodAccessor113.invoke(Unknown Source)    sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)    java.lang.reflect.Method.invoke(Method.java:601)    com.sun.jersey.server.impl.uri.rules.SubLocatorRule.dispatch(SubLocatorRule.java:197)    com.sun.jersey.server.impl.uri.rules.SubLocatorRule.invokeSubLocator(SubLocatorRule.java:183)    com.sun.jersey.server.impl.uri.rules.SubLocatorRule.accept(SubLocatorRule.java:110)    com.sun.jersey.server.impl.uri.rules.RightHandPathRule.accept(RightHandPathRule.java:147)    com.sun.jersey.server.impl.uri.rules.SubLocatorRule.accept(SubLocatorRule.java:137)    com.sun.jersey.server.impl.uri.rules.RightHandPathRule.accept(RightHandPathRule.java:147)    com.sun.jersey.server.impl.uri.rules.ResourceClassRule.accept(ResourceClassRule.java:108)    com.sun.jersey.server.impl.uri.rules.RightHandPathRule.accept(RightHandPathRule.java:147)    com.sun.jersey.server.impl.uri.rules.RootResourceClassesRule.accept(RootResourceClassesRule.java:84)    com.sun.jersey.server.impl.application.WebApplicationImpl._handleRequest(WebApplicationImpl.java:1542)    com.sun.jersey.server.impl.application.WebApplicationImpl._handleRequest(WebApplicationImpl.java:1473)    com.sun.jersey.server.impl.application.WebApplicationImpl.handleRequest(WebApplicationImpl.java:1419)    com.sun.jersey.server.impl.application.WebApplicationImpl.handleRequest(WebApplicationImpl.java:1409)    com.sun.jersey.spi.container.servlet.WebComponent.service(WebComponent.java:409)    com.sun.jersey.spi.container.servlet.ServletContainer.service(ServletContainer.java:540)    com.sun.jersey.spi.container.servlet.ServletContainer.doFilter(ServletContainer.java:909)    com.sun.jersey.spi.container.servlet.ServletContainer.doFilter(ServletContainer.java:857)    com.sun.jersey.spi.container.servlet.ServletContainer.doFilter(ServletContainer.java:811)    org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241)    org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)    org.apache.shiro.web.servlet.AbstractShiroFilter.executeChain(AbstractShiroFilter.java:449)    org.apache.shiro.web.servlet.AbstractShiroFilter$1.call(AbstractShiroFilter.java:365)    org.apache.shiro.subject.support.SubjectCallable.doCall(SubjectCallable.java:90)    org.apache.shiro.subject.support.SubjectCallable.call(SubjectCallable.java:83)    org.apache.shiro.subject.support.DelegatingSubject.execute(DelegatingSubject.java:383)    org.apache.shiro.web.servlet.AbstractShiroFilter.doFilterInternal(AbstractShiroFilter.java:362)    org.apache.shiro.web.servlet.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:125)    org.springframework.web.filter.DelegatingFilterProxy.invokeDelegate(DelegatingFilterProxy.java:346)    org.springframework.web.filter.DelegatingFilterProxy.doFilter(DelegatingFilterProxy.java:259)    org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241)    org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)    org.apache.usergrid.rest.filters.ContentTypeFilter.doFilter(ContentTypeFilter.java:92)    org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241)    org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)    org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:220)    org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:122)    org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:503)    org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:170)    org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:103)    org.apache.catalina.valves.AccessLogValve.invoke(AccessLogValve.java:950)    org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:116)    org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:421)    org.apache.coyote.http11.AbstractHttp11Processor.process(AbstractHttp11Processor.java:1070)    org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:611)    org.apache.tomcat.util.net.JIoEndpoint$SocketProcessor.run(JIoEndpoint.java:314)  	- locked <0x00000007eda23278> (a org.apache.tomcat.util.net.SocketWrapper)    java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)    java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)    org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)    java.lang.Thread.run(Thread.java:722)    and Todd called out this one:  ""collectiontasks-18"" daemon prio=10 tid=0x00007f0cfc004000 nid=0x21b7 waiting on condition [0x00007f0cb87c6000]    java.lang.Thread.State: WAITING (parking)  at sun.misc.Unsafe.park(Native Method)  - parking to wait for  <0x00000007ed32ccf0> (a org.elasticsearch.common.util.concurrent.BaseFuture$Sync)  at java.util.concurrent.locks.LockSupport.park(LockSupport.java:186)  at java.util.concurrent.locks.AbstractQueuedSynchronizer.parkAndCheckInterrupt(AbstractQueuedSynchronizer.java:834)  at java.util.concurrent.locks.AbstractQueuedSynchronizer.doAcquireSharedInterruptibly(AbstractQueuedSynchronizer.java:994)  at java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireSharedInterruptibly(AbstractQueuedSynchronizer.java:1303)  at org.elasticsearch.common.util.concurrent.BaseFuture$Sync.get(BaseFuture.java:274)  at org.elasticsearch.common.util.concurrent.BaseFuture.get(BaseFuture.java:113)  at org.elasticsearch.action.support.AdapterActionFuture.actionGet(AdapterActionFuture.java:45)  at org.apache.usergrid.persistence.index.impl.EsEntityIndexImpl.deletePreviousVersions(EsEntityIndexImpl.java:533)  at org.apache.usergrid.corepersistence.events.EntityVersionCreatedHandler.versionCreated(EntityVersionCreatedHandler.java:67)  at org.apache.usergrid.persistence.collection.impl.EntityVersionCreatedTask.fireEvents(EntityVersionCreatedTask.java:97)  at org.apache.usergrid.persistence.collection.impl.EntityVersionCreatedTask.call(EntityVersionCreatedTask.java:83)  at org.apache.usergrid.persistence.collection.impl.EntityVersionCreatedTask.call(EntityVersionCreatedTask.java:38)  at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:334)  at java.util.concurrent.FutureTask.run(FutureTask.java:166)  at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)  at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)  at java.lang.Thread.run(Thread.java:722)",3
USERGRID-443,"Implement Windows Raw Push Notifications for 1.0","Support for Raw Push Notifications for Windows platform needs to be added to the 1.0 code base.  A separate task can be created/assigned for 2.0.",3
USERGRID-444,"Test Remove routing by Entity Id in ES","When we added routing to ES, we were experiencing ES hotspots.  This appears to have been caused by uneven shard allocation.  We should remove the routing on new indexes, and test this under load.",3
USERGRID-445,"Create an index merge operation","There is currently no way to remove older indexes and retain only a single index after allocating a new index. We can build this functionality out of our index rebuild, but by adding an upper bound to stop indexing.  This should perform the following high level operations.  # Find the lowest entity version in the current write alias # Perform an index rebuild on all collections, stopping at the lowest version from the previous step # After a rebuild has been complete, remove all indexes that are not on the current write alias",8
USERGRID-446,"Removed unused column families","There are a lot of remnant column families from 1.0 that are causing bloat in our system.  We need to audit each 1.0 column family.  If it is no longer used, it should be removed.  If it is more complicated to remove these column families (such as queues) we'll need to open tickets for them and address them later. ",5
USERGRID-447,"Fix data migration format lifecycle on initial setup","During our initial setup, we perform the following phases.  # Setup keyspaces and column families # Set up the root application  Admins then have to run the migration via PUT /system/migrate/run  This causes an unnecessary migration from V0 to current.  Instead, on our initial setup in CPSetup.java, we should perform the following.  # Create keyspaces and column families # Perform the data migration, which will simply set the current max version BEFORE data is written # Write the initial root application state",1
USERGRID-448,"Remove redundant appinfos collections in ManagementServiceImpl","There is a flaw in the two-dot-o CpEntityManagerFactory.    The factory stores a collection of ""appinfo"" type entities, but the ManagementServiceImpl stores a redundant collection of ""application_info"" entities.     The problem becomes evident when you try to delete an application. The application will only be deleted from the ""appinfos"" collection. When you call the management org/apps end-point you will still see the application because the end-point uses the ""application_infos"".     To fix this:  - Ensure that only one collection is stored  - Add code to migrate the existing app information collections  ",3
USERGRID-449,"Admin Portal - ${user} permissions not allowed, but they should be","In the admin portal, if you try to enter a permission like this:    /users/{$user}/has/stuff/mystuff    It gives this error:    ""Path must begin with a slash, path only allows: /, a-z, 0-9, dot, and dash, paths of the format: /path/ or /path//path are not allowed""",3
USERGRID-450,"Invalidate token after it has been used to activate a new user account","Once token has been used to activate an account, it should be invalidated.",3
USERGRID-451,"Upgrade rx to latest version",NULL,3
USERGRID-454,"Add metrics to cassandra and ES calls","We want to add a way for UG to get metrics about calls being made to Cassandra and ES so we can measure where we have performance bottlenecks.    In order to accomplish this we need to wrap our Cassandra execution calls with graphite timers.   We could also set timers to check when Cassandra calls are being started or loaded up.    For ES we already have timers around index updates and index deletes. We just want to check the other ES calls ( index creations, delete by queries and the rest )",5
USERGRID-455,"NPE Under Load","NPE under load.  Please investigate.    java.lang.NullPointerException    org.apache.usergrid.services.ServiceContext.getPath(ServiceContext.java:118)    org.apache.usergrid.services.AbstractService.checkPermissionsForEntity(AbstractService.java:1240)    org.apache.usergrid.services.AbstractCollectionService.putItemByName(AbstractCollectionService.java:314)    org.apache.usergrid.services.AbstractService.invokeItemWithName(AbstractService.java:677)    org.apache.usergrid.services.AbstractService.invoke(AbstractService.java:628)    org.apache.usergrid.services.AbstractService.invoke(AbstractService.java:544)    org.apache.usergrid.services.ServiceRequest.execute(ServiceRequest.java:226)    org.apache.usergrid.services.ServiceRequest.execute(ServiceRequest.java:193)    org.apache.usergrid.rest.applications.ServiceResource.executeServiceRequest(ServiceReso****...",3
USERGRID-456,"Change ElasticSearch mapping behavior to be per index","Currently it is not possible to share multiple usergrid instances on the same cluster.  This is due to our default mapping usage in elasticsearch.  We need to change the following.  # Stop putting default wildcard mappings based on the index prefix, while this should work, it appears it is not # Change our settings so that when an index is created, the default mapping is applied per-index   Also during an index rebuild, if the write_alias exists, we will also want to explicitly update the mapping during this process.   This will allow us to do an online rebuild, without having to allocate a new write index and then merge. ",3
USERGRID-457,"Content length headers are not being sent on POSTS for ping identity",NULL,3
USERGRID-460,"Geospatial/Geolocation query results are not sorted by distance","Geospatial ('within') query results are not sorted by distance.  We should sort by distance ascending by default.  This is now MongoDB handles the $near queries.    Please add a test to confirm sorting is done correctly.",3
USERGRID-461,"Cursor grows as our number of indexes grow","It appears our cursor grows as our index grows. This is causing issues with the request growing too large. To alleviate this issue, I think we should perform the following.    ON READ    # Receive the cursor from ES  # Create a new timeUUID  # Put the cursor into a map with an expiration equal to the ES expiration time, using the new timeUUID string as a key  # Return the time UUID as a string to the user    ON next page  # Lookup the the ES cursor from Cassandra  # Get the next page of results",5
USERGRID-462,"[SPIKE] Investigate geo location re-index failure","When re-indexing entities that have a geo_location on it, the geo_field is missing.  We need to investigate why this is happening.",3
USERGRID-465,"Fix remaining graphite timers in CpEntityManager","Refactor of UG-454 where we move the timers into the constructor instead of being initialized in methods. ",1
USERGRID-466,"Rejected ES Index jobs are dropped.  ","When the index queue is full and ES rejects index requests Usergrid drops them.  The result could be that entities cannot be returned.    We should handle this soon.  At a minimum, we should put them in an SQS queue or something similar for future handling.",5
USERGRID-471,"Long Pauses and Errors from ES on deleteByQuery","When a single thread is doing PUTs against Usergrid, one after the other, ES can time out on deleteByQuery and block the caller.    The response time from Usergrid goes from 200ms to ~60s during this time.  Note that the error in ES logs indicates a 1 minute timeout.    [2015-03-10 17:37:42,947][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:42,947][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:42,948][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:42,948][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:42,949][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:42,949][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,007][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,008][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,008][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,008][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,008][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,008][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,008][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,012][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,013][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,013][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,013][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,013][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,013][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,013][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,072][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,073][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,073][DEBUG][action.deletebyquery     ] [res003sy] observer: timeout notification from cluster service. timeout setting [1m], time since start [1m]  [2015-03-10 17:37:43,073][DEBUG][action.deletebyquery",3
USERGRID-473,"Add Dead Letter Queue",NULL,3
USERGRID-474,"Update cloudformation to use dedicated elasticsearch master nodes","We should update our cloudformation scripts to use a dedicated master node for ES to more closely mirror suggestion production usage during stress testing.",1
USERGRID-478,"Put entity cleanup and entity delete tasks back to delete by batch.",NULL,3
USERGRID-479,"CLONE - Could not retrieve unique value for field name, unable to verify","2015-02-16 05:33:23,590 [http-bio-8080-exec-313] ERROR org.apache.usergrid.rest.exceptions.AbstractExceptionMapper- java.lang.RuntimeException Server Error (500)  java.lang.RuntimeException: Could not retrieve unique value for field name, unable to verify          at org.apache.usergrid.persistence.collection.mvcc.stage.write.WriteUniqueVerify.call(WriteUniqueVerify.java:167)          at org.apache.usergrid.persistence.collection.mvcc.stage.write.WriteUniqueVerify.call(WriteUniqueVerify.java:58)          at rx.Observable$12.onNext(Observable.java:4036)          at rx.internal.operators.OperatorDoOnEach$1.onNext(OperatorDoOnEach.java:61)          at rx.Observable$3.call(Observable.java:1551)          at rx.Observable$3.call(Observable.java:1546)          at rx.Observable.unsafeSubscribe(Observable.java:6839)          at rx.internal.operators.OperatorSubscribeOn$1$1.call(OperatorSubscribeOn.java:60)          at rx.internal.schedulers.ScheduledAction.run(ScheduledAction.java:43)          at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471)          at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:334)          at java.util.concurrent.FutureTask.run(FutureTask.java:166)          at java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.access$201(ScheduledThreadPoolExecutor.java:178)          at java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:292)          at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)          at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)          at java.lang.Thread.run(Thread.java:722)  Caused by: rx.exceptions.OnErrorThrowable$OnNextValue: OnError while emitting onNext value: CollectionIoEvent.class          at rx.exceptions.OnErrorThrowable.addValueAsLastCause(OnErrorThrowable.java:98)          at rx.internal.operators.OperatorDoOnEach$1.onNext(OperatorDoOnEach.java:63)          ... 13 more  2015-02-16 05:33:23,590 [http-bio-8080-exec-313] ERROR org.apache.usergrid.rest.exceptions.AbstractExceptionMapper- Server Error (500):  {""error"":""runtime"",""timestamp"":1424064803590,""duration"":0,""error_description"":""Could not retrieve unique value for field name, unable to verify"",""exception"":""java.lang.RuntimeException""}  2015-02-16 05:33:23,600 [http-bio-8080-exec-488] ERROR org.apache.usergrid.rest.exceptions.ThrowableMapper- An uncaught exception occurred during HTTP invocation  java.lang.RuntimeException: Could not retrieve unique value for field name, unable to verify          at org.apache.usergrid.persistence.collection.mvcc.stage.write.WriteUniqueVerify.call(WriteUniqueVerify.java:167)          at org.apache.usergrid.persistence.collection.mvcc.stage.write.WriteUniqueVerify.call(WriteUniqueVerify.java:58)          at rx.Observable$12.onNext(Observable.java:4036)          at rx.internal.operators.OperatorDoOnEach$1.onNext(OperatorDoOnEach.java:61)          at rx.Observable$3.call(Observable.java:1551)          at rx.Observable$3.call(Observable.java:1546)          at rx.Observable.unsafeSubscribe(Observable.java:6839)          at rx.internal.operators.OperatorSubscribeOn$1$1.call(OperatorSubscribeOn.java:60)          at rx.internal.schedulers.ScheduledAction.run(ScheduledAction.java:43)          at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471)          at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:334)          at java.util.concurrent.FutureTask.run(FutureTask.java:166)          at java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.access$201(ScheduledThreadPoolExecutor.java:178)          at java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:292)          at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)          at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)          at java.lang.Thread.run(Thread.java:722)  Caused by: rx.exceptions.OnErrorThrowable$OnNextValue: OnError while emitting onNext value: CollectionIoEvent.class          at rx.exceptions.OnErrorThrowable.addValueAsLastCause(OnErrorThrowable.java:98)",3
USERGRID-486,"Create a load testing framework for the query module","We need to create a simple stress testing framework for our query module to perform profiling of our indexing scheme.  We can do so easily with the following.    Re-use our existing gattling cloud formation and usergrid cloud formation  Create integration tests that can have an overridden URL to elasticsearch  Run these via maven and parallel ssh to get performance results.  Use metrics to report throughput, possibly to graphite so we can compare results.",5
USERGRID-488,"500 Error Message on PUT: version is required to be set for an update operation","Error is returned with a high load of PUT operations    {      ""duration"": 1,       ""error"": ""null_pointer"",       ""error_description"": ""version is required to be set for an update operation"",       ""exception"": ""java.lang.NullPointerException"",       ""timestamp"": 1426565059313    }  ",5
USERGRID-490,"Update index aliases to be created atomically","Currently, we move our index aliases in multiple steps.  This can lead to inconsistent alias state if fail during one of these operations.  Our alias operation should perform a single swap command.  We should perform the following during index allocation.    # Create the target index successfully  # Issue a single http call that will move the write alias, and add the read alias to the new index, per this HTTP command equivalent.    http://www.elastic.co/guide/en/elasticsearch/reference/current/indices-aliases.html#indices-aliases  ",1
USERGRID-491,"Create app has stopped returning new apps","When creating a new app, no error is returned.  However, the app never appears in the portal.  Investigate and fix this issue.",3
USERGRID-493,"Refactor jersey resource calls in rest test framework to use generics.",NULL,3
USERGRID-494,"More than 10 apps will not be returned for organizations","When we have more than 10 apps, we cannot return them due to bugs in the PagingResults Iterator.  Refactor this to work correctly.  In the process, we should also refactor the repair logic to work when reading connected entities as well as collections.",1
USERGRID-497,"Fix ApplicationResourceIT","ApplicationResourceIT is reporting failures. Investigate root cause as most of them are simply returning back unauthorized.",5
USERGRID-498,"Broken link to contribution page","On the usergrid homepage at http://usergrid.incubator.apache.org the ""Contribution Guidelines"" link points to    https://cwiki.apache.org/confluence/display/usergrid/GitHub+Based+Contribution+Workflow    but it should should really be    https://cwiki.apache.org/confluence/display/usergrid/Usergrid+External+Contributors+Guide",3
USERGRID-501,"Create migration strategy from multiple index to single indexes",NULL,8
USERGRID-502,"Convert BasicIT over to new rest test framework",Convert,2
USERGRID-504,"Querying by application name in rest test framework doesn't work","   The following call doesn't work     management().orgs().organization( clientSetup.getOrganizationName() )                          .app().addToPath( clientSetup.getAppName())    but this call does    management().orgs().organization( clientSetup.getOrganizationName() )                          .app().addToPath( clientSetup.getAppUuid())    The reason being it seems like the application name under the management side also includes the org name as part of its identify but when forming rest calls it doesn't work. Thats why when the name doesn't work the uuid still does . Ideally it should just have the application name as part of its identity. ",3
